Gene Symbol(s),ScENSP,HsENSP52,HsENSP74,HsORFeomeID,HsEntrez,Tet-down CompStatus,Tet-down ToxStatus,TS CompStatus,TS ToxStatus,MM CompStatus,MM ToxStatus,Tetrad CompStatus,Assay CompStatus,Lit CompStatus,Literature PMID,Final CompStatus,Final ToxStatus,BayesNet Test Set
UROD; PCT; UPD,YDR047W,ENSP00000246337,ENSP00000246337,11034@E10,7389,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
ABCE1; RLI; OABP; ABC38; RNS4I; RNASEL1; RNASELI,YDR091C,ENSP00000296577,ENSP00000296577,31040@A02,6059,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NIPBL; CDLS; IDN3; Scc2; CDLS1; IDN3-B,YDR180W,ENSP00000282516,ENSP00000282516,11028@C01,25836,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
MPPE1; PGAP5,YDR182W,ENSP00000339423,ENSP00000465894,11055@F04,65258,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
SCFD1; SLY1; RA410; SLY1P; STXBP1L2; C14orf163,YDR189W,ENSP00000379872,ENSP00000390783,11088@D11,23256,Non complement,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RUVBL1; RVB1; TIH1; ECP54; TIP49; INO80H; NMP238; PONTIN; TIP49A; Pontin52,YDR190C,ENSP00000318297,ENSP00000318297,11011@H06,8607,NA,Toxic,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
PRPF39,YDR235W,ENSP00000348010,ENSP00000348010,51021@H11,55015,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
COPB1; COPB,YDR238C,ENSP00000249923,ENSP00000249923,11025@E10,1315,Non complement,NA,Non complement,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,
DDX23; prp28; PRPF28; U5-100K; SNRNP100; U5-100KD,YDR243C,ENSP00000310723,ENSP00000310723,31039@C03,9416,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
TRAPPC4; SBDN; TRS23; PTD009; CGI-104; HSPC172; SYNBINDIN,YDR246W,ENSP00000351896,ENSP00000466692,11004@B06,51399,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
AATF; DED; BFR2; CHE1; CHE-1,YDR299W,ENSP00000225402,ENSP00000225402,11023@B12,26574,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NCAPG; CAPG; CHCG; YCG1; NY-MEL-3,YDR325W,ENSP00000251496,ENSP00000251496,11011@B09,64151,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
SKP1; OCP2; p19A; EMC19; SKP1A; OCP-II; TCEB1L,YDR328C,ENSP00000231487,ENSP00000231487,11018@C04,6500,NA,NA,NA,NA,Non complement,Toxic,Non complement,Non complement,NA,NA,Non complement,Toxic,
PIGK; GPI8,YDR331W,ENSP00000359848,ENSP00000359848,31021@H02,10026,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,Non complement,12410831,Non complement,NA,
BCCIP; TOK1; TOK-1,YDR361C,ENSP00000357748,ENSP00000357748,11032@A08,56647,Non complement,Toxic,Non complement,Toxic,Non complement,NA,Non complement,Non complement,NA,NA,Non complement,Toxic,
UBA2; ARX; SAE2; HRIHFB2115,YDR390C,ENSP00000246548,ENSP00000246548,11023@G02,10054,NA,NA,NA,NA,Non complement,NA,Non complement,Non complement,NA,NA,Non complement,NA,
PIGS,YDR434W,ENSP00000309430,ENSP00000309430,31034@D12,94005,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PIGP; DCRC; DSRC; DSCR5; DCRC-S,YDR437W,ENSP00000333293,ENSP00000420037,11017@D04,51227,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
UTP6; HCA66; C17orf40,YDR449C,ENSP00000261708,ENSP00000261708,11070@C05,55813,Non complement,Toxic,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
TRAPPC5; TRS31,YDR472W,ENSP00000316990,ENSP00000470262,31022@B10,126003,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PRPF3; PRP3; RP18; HPRP3; Prp3p; HPRP3P; SNRNP90,YDR473C,ENSP00000315379,ENSP00000463536,11024@A06,9129,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GINS4; SLD5,YDR489W,ENSP00000276533,ENSP00000428754,11004@D02,84296,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
MCM3; HCC5; P1.h; RLFB; P1-MCM3,YEL032W,ENSP00000229854,ENSP00000472940,11078@G08,4172,NA,Toxic,Non complement,Toxic,NA,NA,NA,Non complement,NA,NA,Non complement,Toxic,
MPI; PMI; PMI1; CDG1B,YER003C,ENSP00000318318,ENSP00000318318,11022@A01,4351,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
DHX8; DDX8; HRH1; PRP22; PRPF22,YER013W,ENSP00000262415,ENSP00000262415,31004@E04,1659,Non complement,Toxic,Non complement,NA,Non complement,NA,NA,Non complement,Non complement,7935475,Non complement,Toxic,
PSMD3; S3; P58; RPN3; TSTA2,YER021W,ENSP00000264639,ENSP00000264639,11068@E05,5709,NA,NA,NA,NA,Non complement,NA,Non complement,Non complement,Non complement,9017604,Non complement,NA,
AHCY; SAHH; adoHcyase,YER043C,ENSP00000217426,ENSP00000217426,11062@F02,191,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RICTOR; PIA; AVO3; hAVO3,YER093C,ENSP00000349959,ENSP00000296782,11006@A12,253260,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NSA2; HCLG1; TINP1; CDK105; HCL-G1; HUSSY29; HUSSY-29,YER126C,ENSP00000296802,ENSP00000296802,11048@F06,10412,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
DDX55,YFL002C,ENSP00000238146,ENSP00000238146,11077@E06,57696,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
FARSA; FRSA; CML33; FARSL; PheHA; FARSLA,YFL022C,ENSP00000320309,ENSP00000468051,11076@H05,2193,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
USP39; 65K; SAD1; CGI-21; HSPC332; SNRNP65,YFR005C,ENSP00000312981,ENSP00000386864,31030@C06,10713,Non complement,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PSMB4; HN3; HsN3; PROS26; PROS-26,YFR050C,ENSP00000290541,ENSP00000290541,11006@A05,5692,Non complement,NA,NA,NA,Non complement,NA,Non complement,Non complement,NA,NA,Non complement,NA,
PSMD8; S14; p31; HIP6; HYPF; Nin1p; Rpn12; HEL-S-91n,YFR052W,ENSP00000215071,ENSP00000215071,11030@F10,5714,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,Non complement,7621825,Non complement,NA,
ALG2; CDGIi; CMS14; NET38; CMSTA3; hALPG2,YGL065C,ENSP00000238477,ENSP00000417764,31021@F04,85365,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NUBP1; NBP; NBP1; NBP35,YGL091C,ENSP00000283027,ENSP00000283027,51015@H04,4682,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
USE1; D12; P31; SLT1; MDS032,YGL098W,ENSP00000263897,ENSP00000263897,11005@H01,55850,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
WDR74,YGL111W,ENSP00000278856,ENSP00000435726,11058@C01,54663,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
ZC3H14; SUT2; UKp68; MSUT-2; NY-REN-37,YGL122C,ENSP00000251038,ENSP00000251038,11085@C07,79882,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
INO80; INOC1; INO80A; hINO80,YGL150C,ENSP00000355205,ENSP00000355205,71030@E02,54617,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
DDX52; ROK1; HUSSY19,YGL171W,ENSP00000268854,ENSP00000268854,31021@H11,11056,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
MCM6; Mis5; P105MCM; MCG40308,YGL201C,ENSP00000264156,ENSP00000264156,11024@H06,4175,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CSE1L; CAS; CSE1; XPO2,YGL238W,ENSP00000262982,ENSP00000262982,51023@B05,1434,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GTF2F2; BTF4; RAP30; TF2F2; TFIIF,YGR005C,ENSP00000351886,ENSP00000340823,11020@G03,2963,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GFER; ALR; HPO; HSS; ERV1; HPO1; HPO2; HERV1,YGR029W,ENSP00000248114,ENSP00000248114,31015@F02,2671,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Non complement,8575761,Non complement,NA,
TAMM41; RAM41; TAM41; C3orf31,YGR046W,ENSP00000273037,ENSP00000273037,11032@B06,132001,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GTF3C3; TFIIIC102; TFIIICgamma; TFiiiC2-102,YGR047C,ENSP00000263956,ENSP00000263956,71027@H06,9330,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PRPF31; RP11; PRP31; SNRNP61; NY-BR-99,YGR091W,ENSP00000324122,ENSP00000476631,51013@G08,26121,Non complement,NA,NA,Toxic,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
EXOSC5; p12B; RRP46; RRP41B; Rrp46p; hRrp46p,YGR095C,ENSP00000221233,ENSP00000221233,11020@C12,56915,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PES1; PES,YGR103W,ENSP00000334612,ENSP00000346725,11070@A08,23481,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NOL10; PQBP5,YGR145W,ENSP00000371101,ENSP00000371101,11024@B01,79954,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
BRF1; BRF; CFDS; hBRF; BRF-1; GTF3B; TAF3C; TAF3B2; TF3B90; TAFIII90; TFIIIB90; HEL-S-76p,YGR246C,ENSP00000329029,ENSP00000448323,11045@G02,2972,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CWC22; NCM; fSAPb; EIF4GL,YGR278W,ENSP00000387006,ENSP00000387006,71027@C09,57703,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PMPCA; P-55; INPP5E; Alpha-MPP,YHR024C,ENSP00000360782,ENSP00000360782,51013@A02,23203,NA,NA,Non complement,NA,NA,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
MED6; ARC33; NY-REN-28,YHR058C,ENSP00000256379,ENSP00000413343,31041@G11,10001,NA,NA,Non complement,NA,Non complement,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
RPP30; TSG15,YHR062C,ENSP00000277882,ENSP00000389182,31042@D07,10556,Non complement,NA,NA,NA,NA,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
FAM96B; MIP18; CGI-128,YHR122W,ENSP00000299761,ENSP00000387471,11018@C02,51647,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
IMP3; BRMS2; MRPS4; C15orf12,YHR148W,ENSP00000326981,ENSP00000326981,11083@G11,55272,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CDC23; APC8; CUT23; ANAPC8,YHR166C,ENSP00000378350,ENSP00000378350,11088@H06,8697,Non complement,Toxic,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
RPTOR; KOG1; Mip1,YHR186C,ENSP00000307272,ENSP00000307272,31024@E01,57521,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PIGT; NDAP; PNH2; CGI-06; MCAHS3,YHR188C,ENSP00000279036,ENSP00000279036,71019@B07,51604,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
FDFT1; SS; SQS; DGPT; ERG9,YHR190W,ENSP00000220584,ENSP00000220584,11061@E11,2222,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NUBP2; CFD1; NBP 2; NUBP1,YIL003W,ENSP00000262302,ENSP00000262302,11006@C05,10101,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
POLR2C; RPB3; RPB31; hRPB33; hsRPB3,YIL021W,ENSP00000219252,ENSP00000219252,11021@D03,5432,NA,NA,Non complement,NA,NA,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
TIMM44; TIM44,YIL022W,ENSP00000270538,ENSP00000270538,11063@G08,10469,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
SENP6; SSP1; SUSP1,YIL031W,ENSP00000359031,ENSP00000402527,71021@E06,26054,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
FBXW7; AGO; CDC4; FBW6; FBW7; hAgo; FBX30; FBXW6; SEL10; hCdc4; FBXO30; SEL-10,YIL046W,ENSP00000281708,ENSP00000281708,51007@E03,55294,NA,NA,Non complement,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,
SNRNP70; RPU1; Snp1; U1AP; U170K; U1RNP; RNPU1Z; SNRP70; U1-70K,YIL061C,ENSP00000221448,ENSP00000472998,71015@G08,6625,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Non complement,1714384,Non complement,NA,
DIEXF; DEF; UTP25; C1orf107; DJ434O14.5,YIL091C,ENSP00000355987,ENSP00000419005,11024@E08,27042,NA,NA,NA,NA,Non complement,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
ERCC3; XPB; BTF2; GTF2H; RAD25; TFIIH,YIL143C,ENSP00000285398,ENSP00000285398,11080@E02,2071,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PRIM1; p49,YIR008C,ENSP00000350491,ENSP00000350491,11010@F05,5557,NA,Toxic,Non complement,NA,NA,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
CCT8; Cctq; PRED71; D21S246; C21orf112,YJL008C,ENSP00000286788,ENSP00000286788,31034@C12,10694,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NOP9; C14orf21,YJL010C,ENSP00000267425,ENSP00000267425,71018@G08,161424,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CCT3; CCTG; PIG48; TRIC5; CCT-gamma; TCP-1-gamma,YJL014W,ENSP00000357244,ENSP00000295688,11038@E02,7203,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GINS2; PSF2; Pfs2; HSPC037,YJL072C,ENSP00000253462,ENSP00000253462,11028@E05,51659,NA,NA,NA,NA,Non complement,NA,Non complement,Non complement,NA,NA,Non complement,NA,
HEATR1; BAP28; UTP10,YJL109C,ENSP00000355541,ENSP00000355541,11056@H10,55127,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
TRMT61A; GCD14; TRM61; Gcd14p; hTRM61; C14orf172,YJL125C,ENSP00000299201,ENSP00000374399,11051@A02,115708,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,Non complement,16043508,Non complement,NA,
FDPS; FPS; FPPS,YJL167W,ENSP00000349078,ENSP00000357340,11036@B09,2224,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Non complement,21991399,Non complement,NA,
MPHOSPH10; CT90; MPP10; MPP10P; PPP1R106,YJR002W,ENSP00000244230,ENSP00000244230,51007@G02,10199,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PIGM; GPI-MT-I,YJR013W,ENSP00000357069,ENSP00000357069,11062@A05,93183,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Non complement,17519279,Non complement,NA,
CCT5; CCTE; HEL-S-69; PNAS-102; CCT-epsilon; TCP-1-epsilon,YJR064W,ENSP00000280326,ENSP00000280326,11038@D11,22948,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RFC4; A1; RFC37,YJR068W,ENSP00000296273,ENSP00000296273,11058@A05,5984,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GPN1; XAB1; MBDIN; NTPBP; RPAP4; ATPBD1A,YJR072C,ENSP00000264718,ENSP00000264718,11058@H02,11321,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
UBE3D; H10BH; UBE2CBP; YJR141W; C6orf157,YJR141W,ENSP00000237186,ENSP00000358762,71014@E06,90025,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
WDR82; SWD2; MST107; WDR82A; MSTP107; PRO2730; TMEM113; PRO34047,YKL018W,ENSP00000296490,ENSP00000296490,31015@H03,80335,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
FNTA; FPTA; PTAR2; PGGT1A,YKL019W,ENSP00000303423,ENSP00000303423,11046@A08,2339,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CDC16; APC6; CUT9; ANAPC6,YKL022C,ENSP00000348554,ENSP00000348554,31006@B10,8881,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PRIM2; p58; PRIM2A,YKL045W,ENSP00000374139,ENSP00000475738,31036@A10,5558,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
SURF6; RRP14,YKL082C,ENSP00000361092,ENSP00000361092,11034@C08,6838,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CCDC94,YKL095W,ENSP00000262962,ENSP00000262962,11021@G11,55702,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
UTP11L; CGI94; CGI-94,YKL099C,ENSP00000362105,ENSP00000362105,11048@A11,51118,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
