Gene Symbol(s),ScENSP,HsENSP52,HsENSP74,HsORFeomeID,HsEntrez,Tet-down CompStatus,Tet-down ToxStatus,TS CompStatus,TS ToxStatus,MM CompStatus,MM ToxStatus,Tetrad CompStatus,Assay CompStatus,Lit CompStatus,Literature PMID,Final CompStatus,Final ToxStatus,BayesNet Test Set
TAF9; TAF2G; TAFII31; TAFII32; MGC:5067; TAFII-31; TAFII-32; TAFIID32; STAF31/32,YDL166C,ENSP00000370201,ENSP00000370193,11043@G11,6880,Complement,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
HMBS; UPS; PBGD; PORC; PBG-D,YDL205C,ENSP00000278715,ENSP00000278715,11008@F02,3145,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
NHP2; DKCB2; NHP2P; NOLA2,YDL208W,ENSP00000274606,ENSP00000274606,11027@F02,55651,Non complement,NA,NA,NA,Complement,NA,Complement,Complement,Complement,11074001,Complement,NA,
TIMM22; TEX4; TIM22,YDL217C,ENSP00000320236,ENSP00000320236,11019@A12,29928,NA,NA,Complement,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,
EIF4A3; RCPS; DDX48; MUK34; NUK34; NMP265; eIF4AIII,YDR021W,ENSP00000269349,ENSP00000269349,11010@C11,9775,NA,NA,Complement,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
SARS; SERS; SERRS,YDR023W,ENSP00000358939,ENSP00000358939,11038@B10,6301,Non complement,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
KARS; KRS; KARS1; KARS2; CMTRIB; DFNB89,YDR037W,ENSP00000325448,ENSP00000325448,11023@E05,3735,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
CPOX; CPO; CPX; HCP,YDR044W,ENSP00000264193,ENSP00000264193,71011@F11,1371,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
POLR3K; C11; My010; RPC10; RPC11; RPC12.5; C11-RNP3,YDR045C,ENSP00000293860,ENSP00000293860,11082@F06,51728,Complement,NA,NA,NA,Non complement,NA,NA,Complement,Complement,9869639,Complement,NA,
TPI1; TIM; TPI; TPID; HEL-S-49,YDR050C,ENSP00000229270,ENSP00000229270,11020@G05,7167,Complement,NA,Non complement,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
DDIT3; CHOP; CEBPZ; CHOP10; CHOP-10; GADD153,YDR060W,ENSP00000234170,ENSP00000234170,11074@E03,1649,Non complement,NA,Complement,Toxic,Non complement,NA,NA,Complement,NA,NA,Complement,Toxic,
RPS13; S13,YDR064W,ENSP00000228140,ENSP00000435777,11073@G09,6207,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
SEC61G; SSS1,YDR086C,ENSP00000378906,ENSP00000378906,11040@C03,23480,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
SLU7; 9G8; hSlu7,YDR088C,ENSP00000297151,ENSP00000297151,11088@G06,10569,NA,NA,Complement,NA,NA,Toxic,NA,Complement,NA,NA,Complement,Toxic,
UBE2K; LIG; HIP2; HYPG; UBC1; E2-25K,YDR177W,ENSP00000261427,ENSP00000261427,31008@E03,3093,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
DCAKD,YDR196C,ENSP00000341504,ENSP00000413483,11046@H03,79877,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
RFK; RIFK,YDR236C,ENSP00000257452,ENSP00000365926,11002@H05,55312,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
CIAO1; CIA1; WDR39,YDR267C,ENSP00000272402,ENSP00000418287,11056@B08,9391,NA,NA,NA,NA,Complement,NA,NA,Complement,Complement,17937914,Complement,NA,
EXOSC9; p5; p6; RRP45; PMSCL1; Rrp45p; PM/Scl-75,YDR280W,ENSP00000368984,ENSP00000368984,51028@H11,5393,Complement,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
SRPR; DP; Sralpha,YDR292C,ENSP00000328023,ENSP00000328023,11013@E05,6734,NA,Toxic,Complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,Toxic,
PIGF,YDR302W,ENSP00000281382,ENSP00000281382,31019@E04,5281,NA,NA,Complement,NA,Complement,NA,NA,Complement,Complement,10793139,Complement,NA,
NCS1; FLUP; FREQ,YDR373W,ENSP00000361475,ENSP00000470938,11075@E01,23413,NA,NA,Complement,NA,NA,NA,NA,Complement,Complement,14512421,Complement,NA,
PSMC4; S6; RPT3; TBP7; TBP-7; MIP224,YDR394W,ENSP00000157812,ENSP00000157812,11009@D07,5704,NA,NA,Complement,NA,Complement,Toxic,Non complement,Complement,NA,NA,Complement,Toxic,
POLR2G; RPB7; RPB19; hRPB19; hsRPB7,YDR404C,ENSP00000301788,ENSP00000301788,71003@D11,5436,NA,NA,NA,NA,Complement,NA,NA,Complement,Complement,7579693,Complement,NA,
PSMD13; S11; Rpn9; p40.5; HSPC027,YDR427W,ENSP00000333811,ENSP00000396937,11034@G11,5719,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
EIF3G; EIF3S4; EIF3-P42; eIF3-p44; eIF3-delta,YDR429C,ENSP00000253108,ENSP00000253108,11007@E04,8666,Complement,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
MNAT1; MAT1; TFB3; CAP35; RNF66,YDR460W,ENSP00000261245,ENSP00000261245,11053@C02,4331,Complement,NA,Complement,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,
SUMO1; DAP1; GMP1; PIC1; SMT3; UBL1; OFC10; SENP2; SMT3C; SMT3H3,YDR510W,ENSP00000387204,ENSP00000405965,11040@G11,7341,NA,NA,Complement,NA,Complement,NA,NA,Complement,Complement,10364461,Complement,NA,
DDOST; OST; WBP1; AGER1; CDG1R; OST48; OKSWcl45,YEL002C,ENSP00000364188,ENSP00000364188,11037@C02,1650,Complement,NA,NA,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
NHP2L1; FA1; FA-1; NHPX; 15.5K; OTK27; SNU13; SSFA1; SPAG12; SNRNP15-5,YEL026W,ENSP00000383989,ENSP00000383989,11041@H02,4809,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
PGM3; AGM1; PAGM; IMD23; PGM 3,YEL058W,ENSP00000283977,ENSP00000425809,11068@G06,5238,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
PSMB2; HC7-I,YER012W,ENSP00000362337,ENSP00000362334,11029@A11,5690,Complement,NA,Non complement,Toxic,Complement,Toxic,Complement,Complement,NA,NA,Complement,Toxic,
ABCF2; ABC28; HUSSY18; HUSSY-18; EST133090,YER036C,ENSP00000222388,ENSP00000222388,11023@F08,10061,NA,NA,NA,NA,Complement,NA,Non complement,Complement,NA,NA,Complement,NA,
PSMB3; HC10-II,YER094C,ENSP00000225426,ENSP00000225426,11019@D09,5691,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
LSM4; GRP; YER112W,YER112W,ENSP00000252816,ENSP00000469468,11083@G02,25804,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
LSM5; YER146W,YER146W,ENSP00000223084,ENSP00000410758,11015@H03,23658,Complement,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
TRNT1; CCA1; SIFD; MtCCA; CGI-47,YER168C,ENSP00000251607,ENSP00000251607,11035@G08,51095,NA,NA,Complement,Toxic,Complement,NA,Complement,Complement,NA,NA,Complement,Toxic,
ERCC2; EM9; TTD; XPD; COFS2; TFIIH,YER171W,ENSP00000375809,ENSP00000375809,11010@B03,2068,Non complement,NA,Complement,NA,NA,NA,NA,Complement,Complement,"7629061, 8413672",Complement,NA,
GNPNAT1; GNPNAT; Gpnat1,YFL017C,ENSP00000216410,ENSP00000216410,11018@G05,64841,NA,NA,Complement,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
PSMD14; PAD1; POH1; RPN11,YFR004W,ENSP00000386541,ENSP00000386541,11082@F03,10213,Non complement,NA,Complement,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
NSDHL; H105E3; XAP104; SDR31E1,YGL001C,ENSP00000359297,ENSP00000359297,11034@G01,50814,Complement,NA,Complement,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
PSMA6; IOTA; p27K; PROS27,YGL011C,ENSP00000261479,ENSP00000452603,11047@E11,5687,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
HSCB; JAC1; HSC20; DNAJC20; dJ366L4.2,YGL018C,ENSP00000216027,ENSP00000216027,11020@C11,150274,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
RPL30; L30,YGL030W,ENSP00000379382,ENSP00000428085,11088@C01,6156,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
PSMC5; S8; p45; SUG1; SUG-1; TBP10; TRIP1; p45/SUG,YGL048C,ENSP00000310572,ENSP00000310572,11060@H05,5705,Complement,NA,Complement,NA,Complement,NA,NA,Complement,Complement,7870181,Complement,NA,
MRPL12; 5c5-2; L12mt; MRPL7; RPML12; MRPL7/L12; MRP-L31/34,YGL068W,ENSP00000333837,ENSP00000333837,11019@B09,6182,Non complement,NA,NA,NA,Complement,NA,Non complement,Complement,NA,NA,Complement,NA,
RPL27A; L27A,YGL103W,ENSP00000346015,ENSP00000346015,11042@H01,6157,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
DHX15; DBP1; HRH2; DDX15; PRP43; PRPF43; PrPp43p,YGL120C,ENSP00000336741,ENSP00000336741,31017@C06,1665,Non complement,NA,Complement,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,
THG1L; ICF45; IHG-1,YGR024C,ENSP00000231198,ENSP00000231198,11049@E06,54974,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
UFD1L; UFD1,YGR048W,ENSP00000382441,ENSP00000263202,11053@A12,7353,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
MSMO1; DESP4; ERG25; SC4MOL,YGR060W,ENSP00000261507,ENSP00000261507,11051@C06,6307,Complement,NA,NA,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
SNRPD1; SMD1; SNRPD; Sm-D1; HsT2456,YGR074W,ENSP00000300413,ENSP00000300413,11026@E03,6632,NA,Toxic,NA,NA,Complement,NA,Complement,Complement,Complement,8346029,Complement,Toxic,
NOL6; NRAP; UTP22; bA311H10.1,YGR090W,ENSP00000297990,ENSP00000297990,11075@G05,65083,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
YIPF5; SB140; SMAP5; YIP1A; SMAP-5; FinGER5,YGR172C,ENSP00000367224,ENSP00000274496,11030@F09,81555,NA,NA,Complement,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
SQLE,YGR175C,ENSP00000265896,ENSP00000265896,11069@G03,6713,Non complement,Toxic,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,Toxic,
YARS; YRS; YTS; TYRRS; CMTDIC,YGR185C,ENSP00000362576,ENSP00000362576,11089@H02,8565,NA,NA,Complement,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
EXOSC4; SKI6; p12A; RRP41; Ski6p; RRP41A; Rrp41p; hRrp41p,YGR195W,ENSP00000315476,ENSP00000457865,11047@E06,54512,Complement,NA,NA,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
ZPR1; ZNF259,YGR211W,ENSP00000227322,ENSP00000227322,11064@B10,8882,Complement,NA,NA,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,
PSMA5; PSC5; ZETA,YGR253C,ENSP00000271308,ENSP00000271308,51018@C05,5686,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
PINX1; LPTL; LPTS,YGR280C,ENSP00000318966,ENSP00000318966,11055@B06,54984,Complement,NA,NA,NA,Complement,NA,NA,Complement,Complement,12107183,Complement,NA,
CYP51A1; LDM; CP51; CYP51; CYPL1; P450L1; P450-14DM,YHR007C,ENSP00000003100,ENSP00000003100,11067@D11,1595,NA,NA,Complement,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
DHPS; DS; DHS; MIG13,YHR068W,ENSP00000210060,ENSP00000210060,11034@F02,1725,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
TRMT5; TRM5; KIAA1393,YHR070W,ENSP00000261249,ENSP00000261249,71023@A09,57570,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
LSS; OSC,YHR072W,ENSP00000348762,ENSP00000348762,11024@D04,4047,Complement,NA,NA,NA,Complement,NA,Complement,Complement,Complement,11074001,Complement,NA,
RPF1; BXDC5,YHR088W,ENSP00000359688,ENSP00000359688,11033@G06,80135,NA,NA,Complement,Toxic,Non complement,NA,NA,Complement,NA,NA,Complement,Toxic,
DNA2; DNA2L; hDNA2,YHR164C,ENSP00000382133,ENSP00000382133,51011@D03,1763,NA,NA,Complement,NA,Non complement,NA,NA,Complement,Complement,15282207,Complement,NA,
NMD3; CGI-07,YHR170W,ENSP00000307525,ENSP00000417559,11067@B05,51068,Non complement,NA,Non complement,NA,Complement,NA,NA,Complement,Complement,12773398,Complement,NA,
PSMD1; S1; P112; Rpn2,YIL075C,ENSP00000309474,ENSP00000309474,51009@C04,5707,NA,NA,NA,NA,Complement,NA,NA,Complement,Complement,8816993,Complement,NA,
PPCS,YIL083C,ENSP00000361642,ENSP00000361642,71009@G03,79717,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
SHQ1; Shq1p,YIL104C,ENSP00000315182,ENSP00000315182,31024@C11,55164,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
RPN1; OST1; RBPH1,YJL002C,ENSP00000296255,ENSP00000296255,11077@H06,6184,Non complement,NA,Complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
SKIV2L2; Dob1; Mtr4; fSAP118; KIAA0052,YJL050W,ENSP00000230640,ENSP00000230640,71028@G08,23517,NA,NA,Complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
PAM16; TIM16; MAGMAS; SMDMDM; TIMM16; CGI-136,YJL104W,ENSP00000315693,ENSP00000459955,11041@G03,51025,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
POLD2,YJR006W,ENSP00000223361,ENSP00000386105,11037@D12,5425,NA,NA,Non complement,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
PIN1; DOD; UBL5,YJR017C,ENSP00000247970,ENSP00000247970,11074@G01,5300,NA,NA,Complement,NA,Complement,NA,NA,Complement,Complement,11118437,Complement,NA,
RPS5; S5,YJR123W,ENSP00000196551,ENSP00000471388,11045@E04,6193,Complement,NA,NA,NA,NA,Toxic,NA,Complement,NA,NA,Complement,Toxic,
CMPK1; CK; CMK; UMK; CMPK; UMPK; UMP-CMPK,YKL024C,ENSP00000360939,ENSP00000360939,11020@B06,51727,NA,NA,Complement,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,
UGP2; UDPG; UGP1; UDPGP; UGPP1; UGPP2; UDPGP2; pHC379,YKL035W,ENSP00000338703,ENSP00000411803,11076@E04,7360,Complement,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
PSMC2; S7; MSS1; Nbla10058,YKL145W,ENSP00000292644,ENSP00000391211,11036@F09,5701,NA,NA,Complement,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
PPP1R7; SDS22,YKL193C,ENSP00000385657,ENSP00000385657,11057@G04,5510,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
OSGEP; KAE1; GCPL1; OSGEP1; PRSMG1,YKR038C,ENSP00000206542,ENSP00000206542,11055@G02,55644,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
CIAPIN1; DRE2; PRO0915; Anamorsin,YKR071C,ENSP00000349266,ENSP00000377914,11007@C09,57019,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
ELAC2; ELC2; HPC2; COXPD17,YKR079C,ENSP00000337445,ENSP00000337445,11080@G03,60528,NA,Toxic,NA,NA,Complement,NA,NA,Complement,Non complement,15892892,Complement,Toxic,
RPF2; BXDC1; bA397G5.4,YKR081C,ENSP00000357857,ENSP00000402338,11031@G07,84154,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
PIGO; HPMRS2,YLL031C,ENSP00000339382,ENSP00000367880,11037@B09,84720,NA,NA,Complement,Toxic,Non complement,NA,Non complement,Complement,NA,NA,Complement,Toxic,
SBDS; SDS; SWDS; CGI-97,YLR022C,ENSP00000246868,ENSP00000246868,31029@C06,51119,NA,NA,Complement,NA,Non complement,NA,NA,Complement,Non complement,16529906,Complement,NA,
STX5; SED5; STX5A,YLR026C,ENSP00000294179,ENSP00000294179,11049@D05,6811,Complement,NA,Complement,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
GPAA1; GAA1; hGAA1,YLR088W,ENSP00000347206,ENSP00000347206,11013@D07,8733,NA,NA,Complement,NA,Non complement,NA,Non complement,Complement,NA,NA,Complement,NA,
RPS27A; UBC; S27A; CEP80; UBA80; HEL112; UBCEP1; UBCEP80,YLR167W,ENSP00000383981,ENSP00000383981,11027@F11,6233,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
EMG1; C2F; NEP1; Grcc2f,YLR186W,ENSP00000261406,ENSP00000476966,31019@G09,10436,Non complement,Toxic,Complement,NA,Complement,NA,NA,Complement,Complement,11935223,Complement,Toxic,
SEC13; SEC13R; npp-20; SEC13L1; D3S1231E,YLR208W,ENSP00000373312,ENSP00000373312,11054@D10,6396,Complement,NA,NA,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
CDC123; D123; C10orf7,YLR215C,ENSP00000281141,ENSP00000281141,71010@A11,8872,NA,NA,Complement,NA,Complement,NA,NA,Complement,Complement,15319434,Complement,NA,
CDC42; G25K; CDC42Hs,YLR229C,ENSP00000337669,ENSP00000304283,11044@F11,998,Complement,NA,NA,NA,Complement,NA,NA,Complement,Complement,2122236,Complement,NA,
HSPD1; HLD4; CPN60; GROEL; HSP60; HSP65; SPG13; HSP-60; HuCHA60,YLR259C,ENSP00000340019,ENSP00000373620,11077@A04,3329,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
SNRPD2; SMD2; Sm-D2; SNRPD1,YLR275W,ENSP00000342374,ENSP00000342374,11016@G07,6633,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
EIF2B2; EIF2B; EIF-2Bbeta,YLR291C,ENSP00000266126,ENSP00000266126,11057@B10,8892,Complement,Toxic,NA,NA,Non complement,NA,Non complement,Complement,NA,NA,Complement,Toxic,
RPLP0; P0; LP0; L10E; RPP0; PRLP0,YLR340W,ENSP00000339027,ENSP00000376299,11007@D08,6175,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
ADSL; ASL; AMPS; ASASE,YLR359W,ENSP00000216194,ENSP00000390107,11037@F09,158,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
SSRP1; FACT; T160; FACT80,YML069W,ENSP00000278412,ENSP00000278412,11071@H02,6749,NA,NA,Complement,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
TRAPPC1; BET5; MUM2,YML077W,ENSP00000302783,ENSP00000302783,11032@C01,58485,NA,NA,NA,NA,Complement,NA,Complement,Complement,Complement,10582700,Complement,NA,
DOLK; DK; DK1; CDG1M; SEC59; TMEM15,YMR013C,ENSP00000361667,ENSP00000361667,11068@F01,22845,NA,NA,Complement,NA,Complement,NA,NA,Complement,Complement,14652022,Complement,NA,
UTP15; NET21,YMR093W,ENSP00000296792,ENSP00000421669,11050@F09,84135,Complement,NA,NA,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
MVK; MK; LRBP; MVLK; POROK3,YMR208W,ENSP00000376487,ENSP00000228510,11009@G07,4598,Complement,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
RANGAP1; SD; Fug1; RANGAP,YMR235C,ENSP00000385866,ENSP00000385866,11070@A07,5905,Non complement,NA,Complement,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
PIGL; CHIME,YMR281W,ENSP00000225609,ENSP00000225609,31034@H05,9487,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
SPTLC1; HSN1; LBC1; LCB1; SPT1; SPTI; HSAN1,YMR296C,ENSP00000262554,ENSP00000262554,11002@D12,10558,Non complement,NA,Complement,NA,Non complement,Toxic,NA,Complement,NA,NA,Complement,Toxic,
PSMA1; NU; HC2; PROS30; HEL-S-275,YMR314W,ENSP00000315309,ENSP00000414359,11021@B06,5682,Complement,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
MLST8; GBL; LST8; POP3; WAT1; GbetaL,YNL006W,ENSP00000301724,ENSP00000301724,11054@H08,64223,NA,NA,Complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
NOP2; NOL1; p120; NSUN1; NOP120,YNL061W,ENSP00000313272,ENSP00000371858,51026@F05,4839,Non complement,NA,Complement,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,
DCP2; NUDT20,YNL118C,ENSP00000373715,ENSP00000373715,31013@C11,167227,Non complement,NA,Complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
NAF1,YNL124W,ENSP00000274054,ENSP00000274054,31045@H01,92345,Non complement,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
NAT10; ALP; NET43,YNL132W,ENSP00000257829,ENSP00000257829,11079@D08,55226,Complement,NA,NA,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
CARS; CARS1; CYSRS; MGC:11246,YNL247W,ENSP00000369897,ENSP00000369897,11024@D09,833,Non complement,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
PI4KB; NPIK; PI4K92; PIK4CB; PI4KBETA; PI4K-BETA; PI4KIIIBETA,YNL267W,ENSP00000271657,ENSP00000357869,11072@H06,5298,Non complement,NA,Complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
COPG1; COPG,YNL287W,ENSP00000325002,ENSP00000462407,71027@E05,22820,NA,NA,Complement,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
RFC5; RFC36,YNL290W,ENSP00000229043,ENSP00000408295,11056@C04,5985,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
POLR3F; RPC6; RPC39,YNR003C,ENSP00000366828,ENSP00000366828,11032@B05,10621,NA,NA,Complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
MVD; MPD; MDDase; FP17780,YNR043W,ENSP00000301012,ENSP00000301012,NA,4597,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
TRMT112; TRM112; HSPC152; HSPC170; TRMT11-2,YNR046W,ENSP00000309433,ENSP00000438349,11017@A05,51504,NA,NA,NA,NA,Complement,NA,Non complement,Complement,NA,NA,Complement,NA,
GNL2; NGP1; Nog2; Nug2; Ngp-1; HUMAUANTIG,YNR053C,ENSP00000362153,ENSP00000362153,11014@D06,29889,Non complement,Toxic,Complement,Toxic,Non complement,NA,Non complement,Complement,NA,NA,Complement,Toxic,
