ScoreJS,TypeJS,ScoreSE,TypeSE,,ScoreSOP,TypeSOP,,mutationNumber,pAverage,conservationAverage,speciesNumber
0.61719,JS divergence benign,0.3508,Shannon Entropy benign,,0.625475,Sum of Pairs Benign,,,,,
0.64369,JS divergence benign,0.50681,Shannon Entropy benign,,1.91809,Sum of Pairs Benign,,,,,
0.743512222,JS divergence benign,0.529545556,Shannon Entropy benign,,2.614647778,Sum of Pairs Benign,,,,,
0.60654,JS divergence benign,0.42653,Shannon Entropy benign,,1.59252,Sum of Pairs Benign,,,,,
0.68883,JS divergence benign,0.554343333,Shannon Entropy benign,,2.424643333,Sum of Pairs Benign,,,,,
0.28504,JS divergence benign,0.18635,Shannon Entropy benign,,-0.73848,Sum of Pairs Benign,,,,,
0.58907,JS divergence benign,0.2951,Shannon Entropy benign,,-0.9282,Sum of Pairs Benign,,,,,
0.564345,JS divergence benign,0.29644,Shannon Entropy benign,,-0.89836,Sum of Pairs Benign,,,,,
0.663183333,JS divergence benign,0.510506667,Shannon Entropy benign,,2.38908,Sum of Pairs Benign,,,,,
0.6021,JS divergence benign,0.333795,Shannon Entropy benign,,0.2953,Sum of Pairs Benign,,,,,
0.688604,JS divergence benign,0.514474,Shannon Entropy benign,,2.69256,Sum of Pairs Benign,,,,,
0.73679,JS divergence benign,0.44971,Shannon Entropy benign,,1.01648,Sum of Pairs Benign,,,,,
0.78641,JS divergence benign,0.43255,Shannon Entropy benign,,2.553735,Sum of Pairs Benign,,,,,
0.569155,JS divergence benign,0.24092,Shannon Entropy benign,,0.375115,Sum of Pairs Benign,,,,,
0.75889,JS divergence benign,0.787745,Shannon Entropy benign,,4.361785,Sum of Pairs Benign,,,,,
0.55614,JS divergence benign,0.22313,Shannon Entropy benign,,-0.54547,Sum of Pairs Benign,,,,,
0.797338,JS divergence benign,0.774236,Shannon Entropy benign,,4.006952,Sum of Pairs Benign,,,,,
0.670986667,JS divergence benign,0.498496667,Shannon Entropy benign,,1.907523333,Sum of Pairs Benign,,,,,
0.645008667,JS divergence benign,0.533509333,Shannon Entropy benign,,2.462289333,Sum of Pairs Benign,,,,,
0.47767,JS divergence benign,0.13303,Shannon Entropy benign,,-0.58682,Sum of Pairs Benign,,,,,
0.71758,JS divergence benign,0.499723333,Shannon Entropy benign,,2.357233333,Sum of Pairs Benign,,,,,
0.68425,JS divergence benign,0.42734,Shannon Entropy benign,,1.50482,Sum of Pairs Benign,,,,,
0.516625,JS divergence benign,0.036415,Shannon Entropy benign,,-0.338775,Sum of Pairs Benign,,,,,
0.6988175,JS divergence benign,0.422165,Shannon Entropy benign,,0.988925,Sum of Pairs Benign,,,,,
0.784522308,JS divergence benign,0.68291,Shannon Entropy benign,,3.386346154,Sum of Pairs Benign,,,,,
0.589085714,JS divergence benign,0.287274286,Shannon Entropy benign,,-0.081614286,Sum of Pairs Benign,,,,,
0.757435,JS divergence benign,0.663085,Shannon Entropy benign,,2.18124,Sum of Pairs Benign,,,,,
0.6632,JS divergence benign,0.282043333,Shannon Entropy benign,,0.75638,Sum of Pairs Benign,,,,,
0.69608,JS divergence benign,0.46968,Shannon Entropy benign,,2.03694,Sum of Pairs Benign,,,,,
0.683135,JS divergence benign,0.50341,Shannon Entropy benign,,1.740145,Sum of Pairs Benign,,,,,
0.5655,JS divergence benign,0.37124,Shannon Entropy benign,,1.56506,Sum of Pairs Benign,,,,,
0.60425,JS divergence benign,0.32324,Shannon Entropy benign,,-1.000725,Sum of Pairs Benign,,,,,
0.596,JS divergence benign,0.304965,Shannon Entropy benign,,1.6069,Sum of Pairs Benign,,,,,
0.667764,JS divergence benign,0.42643,Shannon Entropy benign,,0.76707,Sum of Pairs Benign,,,,,
0.64894,JS divergence benign,0.44249,Shannon Entropy benign,,1.37261,Sum of Pairs Benign,,,,,
